"S. No.","State/UT","[R1] Required1               ","[S] Sanctioned","[P] In Position","[S-P] Vacant","[R1-P] Shortfall1                      "
"1","Andhra Pradesh","14146","24523","21647","2876","NULL"
"2","Arunachal Pradesh","383","NA","395","NA","NULL"
"3","Assam","5542","NA","8723","NA","NULL"
"4","Bihar","11559","NA","16943","NA","NULL"
"5","Chhattisgarh","5817","6394","5430","964","387"
"6","Goa","194","260","240","20","NULL"
"7","Gujarat","8397","7248","6431","817","1966"
"8","Haryana","2952","5420","5034","386","NULL"
"9","Himachal Pradesh","2520","2213","1685","528","835"
"10","Jammu & Kashmir","2304","2282","3777","NULL","NULL"
"11","Jharkhand","4288","4288","6372","NULL","NULL"
"12","Karnataka","11180","11180","11433","NULL","NULL"
"13","Kerala","5384","4232","4173","59","1211"
"14","Madhya Pradesh ","10025","11904","12516","NULL","NULL"
"15","Maharashtra","12389","21122","21726","NULL","NULL"
"16","Manipur","500","984","661","323","NULL"
"17","Meghalaya","514","667","787","NULL","NULL"
"18","Mizoram","427","388","619","NULL","NULL"
"19","Nagaland","522","NA","907","NA","NULL"
"20","Odisha##","7916","7442","7934","NULL","NULL"
"21","Punjab","3396","4044","4096","NULL","NULL"
"22","Rajasthan","13004","14348","17638","NULL","NULL"
"23","Sikkim","170","219","292","NULL","NULL"
"24","Tamil Nadu","9910","9910","9774","136","136"
"25","Tripura","711","NA","440","NA","271"
"26","Uttarakhand","2004","2077","2192","NULL","NULL"
"27","Uttar Pradesh3","24213","25190","22464","2726","1749"
"28","West Bengal","11265","10356","12966","NULL","NULL"
"29","A& N Islands","133","214","214","0","NULL"
"30","Chandigarh","17","17","29","NULL","NULL"
"31","D & N Haveli","56","40","81","NULL","NULL"
"32","Daman & Diu","29","26","40","NULL","NULL"
"33","Delhi##","49","43","54","NULL","NULL"
"34","Lakshadweep","18","NA","31","NA","NULL"
"35","Puducherry","77","72","124","NULL","NULL"
